date,close,source
2010-01-04,56.98423767089844,yahoo_live
2010-01-05,57.25638198852539,yahoo_live
2010-01-06,57.08769989013672,yahoo_live
2010-01-07,57.158416748046875,yahoo_live
2010-01-08,57.28363800048828,yahoo_live
2010-01-11,57.34344482421875,yahoo_live
2010-01-12,57.45234298706055,yahoo_live
2010-01-13,57.21282958984375,yahoo_live
2010-01-14,57.419673919677734,yahoo_live
2010-01-15,57.39790344238281,yahoo_live
2010-01-19,57.446929931640625,yahoo_live
2010-01-20,57.408817291259766,yahoo_live
2010-01-21,57.5611686706543,yahoo_live
2010-01-22,57.47412872314453,yahoo_live
2010-01-25,57.46866989135742,yahoo_live
2010-01-26,57.316280364990234,yahoo_live
2010-01-27,57.10942459106445,yahoo_live
2010-01-28,57.02779769897461,yahoo_live
2010-01-29,57.39249801635742,yahoo_live
2010-02-01,57.13665008544922,yahoo_live
2010-02-02,57.31702423095703,yahoo_live
2010-02-03,57.25687026977539,yahoo_live
2010-02-04,57.25148391723633,yahoo_live
2010-02-05,57.076499938964844,yahoo_live
2010-02-08,57.13119888305664,yahoo_live
2010-02-09,56.99996566772461,yahoo_live
2010-02-10,56.557254791259766,yahoo_live
2010-02-11,56.68840026855469,yahoo_live
2010-02-12,56.754058837890625,yahoo_live
2010-02-16,56.978145599365234,yahoo_live
2010-02-17,56.78681945800781,yahoo_live
2010-02-18,56.74857711791992,yahoo_live
2010-02-19,56.95082092285156,yahoo_live
2010-02-22,56.98360061645508,yahoo_live
2010-02-23,57.12025451660156,yahoo_live
2010-02-24,57.36626052856445,yahoo_live
2010-02-25,57.30607986450195,yahoo_live
2010-02-26,57.683292388916016,yahoo_live
2010-03-01,57.75737762451172,yahoo_live
2010-03-02,57.878108978271484,yahoo_live
2010-03-03,57.99884796142578,yahoo_live
2010-03-04,58.02630615234375,yahoo_live
2010-03-05,57.95498275756836,yahoo_live
2010-03-08,58.04832458496094,yahoo_live
2010-03-09,57.9933967590332,yahoo_live
2010-03-10,58.04832458496094,yahoo_live
2010-03-11,58.02630615234375,yahoo_live
2010-03-12,58.1471061706543,yahoo_live
2010-03-15,58.136138916015625,yahoo_live
2010-03-16,58.405067443847656,yahoo_live
2010-03-17,58.61922073364258,yahoo_live
2010-03-18,58.50387954711914,yahoo_live
2010-03-19,58.46000289916992,yahoo_live
2010-03-22,58.55326843261719,yahoo_live
2010-03-23,58.514862060546875,yahoo_live
2010-03-24,58.08120346069336,yahoo_live
2010-03-25,57.872596740722656,yahoo_live
2010-03-26,58.04832458496094,yahoo_live
2010-03-29,57.99884796142578,yahoo_live
2010-03-30,58.03181838989258,yahoo_live
2010-03-31,58.05929183959961,yahoo_live
2010-04-01,58.185523986816406,yahoo_live
2010-04-05,57.65069580078125,yahoo_live
2010-04-06,57.78853988647461,yahoo_live
2010-04-07,58.08075714111328,yahoo_live
2010-04-08,57.97052001953125,yahoo_live
2010-04-09,58.00908660888672,yahoo_live
2010-04-12,58.17448806762695,yahoo_live
2010-04-13,58.38402557373047,yahoo_live
2010-04-14,58.33441162109375,yahoo_live
2010-04-15,58.43364715576172,yahoo_live
2010-04-16,58.57148361206055,yahoo_live
2010-04-19,58.42262649536133,yahoo_live
2010-04-20,58.54945373535156,yahoo_live
2010-04-21,58.7534294128418,yahoo_live
2010-04-22,58.62108612060547,yahoo_live
2010-04-23,58.61009216308594,yahoo_live
2010-04-26,58.637638092041016,yahoo_live
2010-04-27,58.676239013671875,yahoo_live
2010-04-28,58.77547836303711,yahoo_live
2010-04-29,58.924381256103516,yahoo_live
2010-04-30,59.16691970825195,yahoo_live
2010-05-03,59.18465805053711,yahoo_live
2010-05-04,59.25668716430664,yahoo_live
2010-05-05,59.0019645690918,yahoo_live
2010-05-06,58.0274658203125,yahoo_live
2010-05-07,58.21573257446289,yahoo_live
2010-05-10,58.581180572509766,yahoo_live
2010-05-11,58.642051696777344,yahoo_live
2010-05-12,58.619911193847656,yahoo_live
2010-05-13,58.791561126708984,yahoo_live
2010-05-14,58.774959564208984,yahoo_live
2010-05-17,58.87462615966797,yahoo_live
2010-05-18,59.062862396240234,yahoo_live
2010-05-19,59.0960693359375,yahoo_live
2010-05-20,58.96319580078125,yahoo_live
